reference_year,source_report,pdf_page,table_no,sl_no,district_as_published,is_state_total,land_use_category,measure,unit,raw_value,value,cell_status
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Permanent pastures and other grazing land,area,'000 ha,12,12,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Permanent pastures and other grazing land,pct_of_area_under_survey,%,3.59,3.59,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Land under misc. tree crops & groves not included in net area sown,area,'000 ha,8,8,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Land under misc. tree crops & groves not included in net area sown,pct_of_area_under_survey,%,2.40,2.40,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Cultivable waste,area,'000 ha,15,15,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Cultivable waste,pct_of_area_under_survey,%,4.49,4.49,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Old fallows,area,'000 ha,21,21,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Old fallows,pct_of_area_under_survey,%,6.29,6.29,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Current fallows,area,'000 ha,37,37,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Current fallows,pct_of_area_under_survey,%,11.08,11.08,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Net area sown,area,'000 ha,134,134,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Net area sown,pct_of_area_under_survey,%,40.12,40.12,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Total area under survey,area,'000 ha,334,334,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Total area under survey,pct_of_geographical_area,%,89.54,89.54,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Area not included under survey,area,'000 ha,39,39,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Geographical area,area,'000 ha,373,373,ok
