reference_year,source_report,pdf_page,table_no,crop_table,product,sl_no,district_as_published,is_state_total,season,measure,unit,raw_value,value,cell_status
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,6,Boudh,0,Summer,production,'000 MT,25.01,25.01,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,6,Boudh,0,Summer,production,'000 MT,16.51,16.51,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,6,Boudh,0,Total,area,'000 ha,69.67,69.67,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,6,Boudh,0,Total,yield_rate,qtl/ha,47.47,47.47,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,6,Boudh,0,Total,yield_rate,qtl/ha,31.33,31.33,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,6,Boudh,0,Total,production,'000 MT,330.74,330.74,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,6,Boudh,0,Total,production,'000 MT,218.29,218.29,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,7,Cuttack,0,Autumn,area,'000 ha,0.51,0.51,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,7,Cuttack,0,Autumn,yield_rate,qtl/ha,28.83,28.83,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,7,Cuttack,0,Autumn,yield_rate,qtl/ha,19.03,19.03,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,7,Cuttack,0,Autumn,production,'000 MT,1.48,1.48,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,7,Cuttack,0,Autumn,production,'000 MT,0.98,0.98,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,7,Cuttack,0,Winter,area,'000 ha,106.58,106.58,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,7,Cuttack,0,Winter,yield_rate,qtl/ha,47.62,47.62,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,7,Cuttack,0,Winter,yield_rate,qtl/ha,31.43,31.43,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,7,Cuttack,0,Winter,production,'000 MT,507.58,507.58,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,7,Cuttack,0,Winter,production,'000 MT,335.01,335.01,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,7,Cuttack,0,Summer,area,'000 ha,9.38,9.38,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,7,Cuttack,0,Summer,yield_rate,qtl/ha,53.56,53.56,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,7,Cuttack,0,Summer,yield_rate,qtl/ha,35.35,35.35,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,7,Cuttack,0,Summer,production,'000 MT,50.23,50.23,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,7,Cuttack,0,Summer,production,'000 MT,33.15,33.15,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,7,Cuttack,0,Total,area,'000 ha,116.47,116.47,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,7,Cuttack,0,Total,yield_rate,qtl/ha,48.02,48.02,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,7,Cuttack,0,Total,yield_rate,qtl/ha,31.69,31.69,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,7,Cuttack,0,Total,production,'000 MT,559.29,559.29,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,7,Cuttack,0,Total,production,'000 MT,369.14,369.14,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,8,Deogarh,0,Autumn,area,'000 ha,8.07,8.07,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,8,Deogarh,0,Autumn,yield_rate,qtl/ha,31.30,31.30,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,8,Deogarh,0,Autumn,yield_rate,qtl/ha,20.66,20.66,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,8,Deogarh,0,Autumn,production,'000 MT,25.26,25.26,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,8,Deogarh,0,Autumn,production,'000 MT,16.67,16.67,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,8,Deogarh,0,Winter,area,'000 ha,32.03,32.03,ok
